faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,teamShutouts,ties,wins,winsInRegulation,winsInShootout,season
0.505976,82,210,2.56097,254,3.09756,27,11,0.889328,0.84585,0.60365,99,0.19758,0.225806,42,20232024,28.0,31.90243,Los Angeles Kings,26,7,,44,37,2,2023-2024
0.501952,82,243,2.96341,263,3.20731,29,8,0.83568,0.793428,0.59756,98,0.170634,0.20238,41,20232024,30.32926,31.07317,Vegas Golden Knights,54,3,,45,34,4,2023-2024
0.517539,82,267,3.25609,288,3.51219,29,8,0.8547,0.833334,0.59756,98,0.262096,0.28629,42,20232024,29.63414,29.28048,Tampa Bay Lightning,14,4,,45,37,3,2023-2024
0.51265,82,258,3.14634,245,2.9878,27,16,0.76018,0.714933,0.57317,94,0.190476,0.203463,38,20232024,32.75609,30.12195,New York Islanders,2,5,,39,29,1,2023-2024
0.499003,82,248,3.02439,234,2.85365,33,6,0.84186,0.790698,0.56097,92,0.152,0.18,38,20232024,32.14634,28.90243,St. Louis Blues,19,4,,43,31,5,2023-2024
0.505829,82,273,3.32926,275,3.35365,32,9,0.825,0.795834,0.55487,91,0.194139,0.230769,38,20232024,32.40243,28.96341,Detroit Red Wings,17,4,,41,27,3,2023-2024
0.466535,82,252,3.07317,216,2.63414,31,11,0.802575,0.7897,0.55487,91,0.18421,0.20614,36,20232024,30.52439,26.4878,Washington Capitals,15,7,,40,32,4,2023-2024
0.546383,82,248,3.02439,253,3.08536,32,12,0.82716,0.806585,0.53658,88,0.10687,0.152671,36,20232024,30.2317,32.7439,Pittsburgh Penguins,5,8,,38,32,2,2023-2024
0.473127,82,260,3.17073,248,3.02439,34,9,0.756653,0.745248,0.53048,87,0.186813,0.227106,36,20232024,29.71951,30.13414,Minnesota Wild,30,6,,39,32,3,2023-2024
0.496789,82,258,3.14634,231,2.81707,33,11,0.900414,0.834025,0.53048,87,0.106299,0.122047,34,20232024,27.13414,33.02439,Philadelphia Flyers,4,5,,38,30,4,2023-2024
0.450241,82,243,2.96341,244,2.9756,37,6,0.82716,0.798354,0.51219,84,0.121076,0.165919,37,20232024,29.29268,30.90243,Buffalo Sabres,7,5,,39,33,2,2023-2024
0.496267,82,267,3.25609,253,3.08536,39,5,0.853061,0.808164,0.4939,81,0.13492,0.178571,38,20232024,29.7317,31.36585,Calgary Flames,20,2,,38,32,0,2023-2024
0.535349,82,281,3.42682,264,3.21951,39,5,0.81893,0.806585,0.4939,81,0.187755,0.224489,38,20232024,29.9756,30.68292,New Jersey Devils,1,1,,38,33,0,2023-2024
0.475171,82,232,2.82926,214,2.60975,35,13,0.815315,0.788289,0.4939,81,0.169421,0.206611,31,20232024,29.15853,28.62195,Seattle Kraken,55,5,,34,28,3,2023-2024
0.509871,82,281,3.42682,250,3.04878,41,4,0.779591,0.751021,0.4756,78,0.15901,0.180212,32,20232024,29.65853,31.7317,Ottawa Senators,9,2,,37,25,5,2023-2024
0.450821,82,274,3.34146,254,3.09756,41,5,0.789473,0.763158,0.46951,77,0.190871,0.219917,34,20232024,31.68292,27.71951,Arizona Coyotes,53,7,,36,28,2,2023-2024
0.514563,82,281,3.42682,232,2.82926,36,16,0.789855,0.764493,0.46341,76,0.126984,0.174603,26,20232024,33.39024,27.67073,Montréal Canadiens,8,2,,30,20,4,2023-2024
0.472216,82,298,3.63414,234,2.85365,43,12,0.783898,0.762712,0.40243,66,0.122641,0.150943,24,20232024,34.41463,29.9756,Columbus Blue Jackets,29,1,,27,21,3,2023-2024
0.466475,82,293,3.57317,203,2.4756,50,5,0.760606,0.724243,0.35975,59,0.157446,0.178723,26,20232024,32.51219,26.75609,Anaheim Ducks,24,1,,27,21,1,2023-2024
0.462608,82,289,3.52439,178,2.17073,53,6,0.770562,0.757576,0.31707,52,0.131914,0.165957,22,20232024,32.69512,26.25609,Chicago Blackhawks,16,1,,23,17,1,2023-2024
0.490405,82,326,3.9756,180,2.19512,54,9,0.765873,0.753969,0.28658,47,0.163461,0.201923,18,20232024,35.13414,25.2317,San Jose Sharks,28,2,,19,14,1,2023-2024
0.544854,82,174,2.12195,301,3.67073,12,5,0.90106,0.872792,0.82317,135,0.193548,0.222222,61,20222023,29.84146,32.96341,Boston Bruins,6,7,,65,54,4,2022-2023
0.528568,82,210,2.56097,262,3.19512,21,9,0.886718,0.84375,0.68902,113,0.173913,0.197628,48,20222023,26.0,34.78048,Carolina Hurricanes,12,9,,52,39,4,2022-2023
0.512613,82,222,2.70731,289,3.52439,22,8,0.865217,0.826087,0.68292,112,0.183035,0.21875,50,20222023,28.2317,34.40243,New Jersey Devils,1,4,,52,39,2,2022-2023
0.522547,82,225,2.7439,267,3.25609,22,9,0.825641,0.774359,0.67682,111,0.183574,0.202898,46,20222023,30.89024,31.54878,Vegas Golden Knights,54,3,,51,38,5,2022-2023
0.530917,82,220,2.68292,278,3.39024,21,11,0.850806,0.818549,0.67682,111,0.227642,0.260162,49,20222023,29.51219,32.04878,Toronto Maple Leafs,10,5,,50,42,1,2022-2023
0.46708,82,223,2.71951,274,3.34146,24,7,0.814516,0.790323,0.66463,109,0.226053,0.24521,45,20222023,30.96341,33.25609,Colorado Avalanche,21,6,,51,36,6,2022-2023
0.508183,82,256,3.12195,325,3.96341,23,9,0.834532,0.769785,0.66463,109,0.298181,0.323636,50,20222023,31.36585,33.58536,Edmonton Oilers,22,2,,50,45,0,2022-2023
0.547534,82,215,2.62195,281,3.42682,21,14,0.876033,0.834711,0.65853,108,0.230468,0.25,43,20222023,29.90243,31.91463,Dallas Stars,25,6,,47,39,4,2022-2023
0.490672,82,216,2.63414,273,3.32926,22,13,0.847533,0.81166,0.65243,107,0.220408,0.240816,43,20222023,29.32926,31.4878,New York Rangers,3,4,,47,37,4,2022-2023
0.533245,82,254,3.09756,274,3.34146,25,10,0.784386,0.758365,0.63414,104,0.21933,0.252788,41,20222023,27.91463,32.41463,Los Angeles Kings,26,3,,47,37,6,2022-2023
0.476825,82,219,2.67073,239,2.91463,25,11,0.875,0.820313,0.62804,103,0.20238,0.214285,39,20222023,31.12195,30.91463,Minnesota Wild,30,5,,46,34,7,2022-2023
0.453156,82,252,3.07317,289,3.52439,28,8,0.792372,0.76695,0.60975,100,0.160493,0.19753,46,20222023,27.01219,30.45121,Seattle Kraken,55,3,,46,37,0,2022-2023
0.516375,82,252,3.07317,280,3.41463,30,6,0.823754,0.796935,0.59756,98,0.214285,0.253571,43,20222023,31.4878,31.96341,Tampa Bay Lightning,14,6,,46,38,3,2022-2023
0.489356,82,224,2.7317,246,3.0,33,3,0.853556,0.824268,0.57926,95,0.17037,0.192592,45,20222023,30.32926,30.31707,Winnipeg Jets,52,4,,46,36,1,2022-2023
